id_situation,id_dpt,id_region,,,,,,,,,67
,,,,,,,,,,,29
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,20
,,,,,,,,,,,20
,,,,,,,,,,,20
,,,,,,,,,,,20
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
